descricao,fonte_formula,unidade_de_medida,meta,tipo_indicador,tipo_setor,,,,,,,,,,,
Atendimentos Médicos em Gerontologia,Quantidade de atendimentos médicos em gerontologia,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Ginecologia,Quantidade de atendimentos médicos em ginecologia,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Ginecologia e Obstetrícia,Quantidade de atendimentos médicos em ginecologia e obstetrícia,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Hebiatria,Quantidade de atendimentos médicos em hebiatria,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Hematologia,Quantidade de atendimentos médicos em hematologia,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Hepatologia,Quantidade de atendimentos médicos em hepatologia,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Infectologia,Quantidade de atendimentos médicos em infectologia,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Infectologia Pediátrica/Adolescente,Quantidade de atendimentos médicos em infectologia pediátrica/adolescente,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Mastologia,Quantidade de atendimentos médicos em mastologia,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Medicina da Dor,Quantidade de atendimentos médicos em medicina da dor,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Medicina do Trabalho,Quantidade de atendimentos médicos em medicina do trabalho,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Medicina Física e Reabilitação (Fisiatria),Quantidade de atendimentos médicos em medicina física e reabilitação (fisiatria),ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Nefrologia,Quantidade de atendimentos médicos em nefrologia,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Neurocirurgia,Quantidade de atendimentos médicos em neurocirurgia,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Neurologia,Quantidade de atendimentos médicos em neurologia,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Neurologia Pediátrica,Quantidade de atendimentos médicos em neurologia pediátrica,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Oftalmologia,Quantidade de atendimentos médicos em oftalmologia,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Ortopedia,Quantidade de atendimentos médicos em ortopedia,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Otorrinolaringologia,Quantidade de atendimentos médicos em otorrinolaringologia,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Pediatria,Quantidade de atendimentos médicos em pediatria,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Pediatria (Hebiatria),Quantidade de atendimentos médicos em pediatria (hebiatria),ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Pneumologia,Quantidade de atendimentos médicos em pneumologia,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Psiquiatria,Quantidade de atendimentos médicos em psiquiatria,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Psiquiatria (Núcleo Terapêutico),Quantidade de atendimentos médicos em psiquiatria (núcleo terapêutico),ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Radiologia e Diagnóstico por Imagem,Quantidade de atendimentos médicos em radiologia e diagnóstico por imagem,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Reumatologia,Quantidade de atendimentos médicos em reumatologia,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Traumatologia,Quantidade de atendimentos médicos em traumatologia,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Ultrassonografia,Quantidade de atendimentos médicos em ultrassonografia,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos Médicos em Urologia,Quantidade de atendimentos médicos em urologia,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos em Bioquímica,Quantidade de atendimentos em bioquímica,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos em Educação Física,Quantidade de atendimentos em educação física,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos em Enfermagem,Quantidade de atendimentos em enfermagem,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos em Farmácia,Quantidade de atendimentos em farmácia,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos em Fisioterapia,Quantidade de atendimentos em fisioterapia,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos em Fonoaudiologia,Quantidade de atendimentos em fonoaudiologia,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos em Nutrição,Quantidade de atendimentos em nutrição,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos em Psicologia,Quantidade de atendimentos em psicologia,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos em Psicopedagogia,Quantidade de atendimentos em psicopedagogia,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos em Serviço Social,Quantidade de atendimentos em serviço social,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Atendimentos em Terapia Ocupacional,Quantidade de atendimentos em terapia ocupacional,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
